Temporada,EQUIPO,JJ,JG,JE,JP,GF,GC,DIF,PTS,POS,Decendio?
2010,Municipal,22,10,6,6,40,23,17,36,1,No
2010,Marquense,22,9,6,7,32,27,5,33,2,No
2010,Juventud Retalteca,22,8,8,6,28,24,4,32,3,No
2010,Heredia,22,9,5,8,28,31,-3,32,4,No
2010,Comunicaciones,22,7,10,5,24,22,2,31,5,No
2010,Xelajú MC,22,9,4,9,28,29,-1,31,6,No
2010,Suchitepéquez,22,8,6,8,32,23,9,30,7,No
2010,Mictlán,22,9,3,10,14,18,-4,30,8,No
2010,Malacateco,22,8,5,9,20,27,-7,29,9,No
2010,Xinabajul,22,8,3,11,22,29,-7,27,10,No
2010,Universidad,22,7,6,9,28,36,-8,27,11,Si
2010,Peñarol La Mesilla,22,5,8,9,22,29,-7,23,12,Si
2011,Municipal,22,11,4,7,33,20,13,37,1,No
2011,Heredia,22,11,4,7,32,19,13,37,2,No
2011,Comunicaciones,22,11,2,9,38,28,10,35,3,No
2011,Mictlán,22,10,5,7,24,23,1,35,4,No
2011,Malacateco,22,10,4,8,30,24,6,34,5,No
2011,Peñarol La Mesilla,22,10,3,9,35,36,-1,33,6,No
2011,Marquense,22,9,4,9,28,29,-1,31,7,No
2011,Juventud Retalteca,22,9,3,10,25,21,4,30,8,No
2011,Xelajú MC,22,8,6,8,25,34,-9,30,9,No
2011,Universidad,22,6,8,8,22,23,-1,26,10,No
2011,Suchitepéquez,22,6,6,10,20,26,-6,24,11,Si
2011,Xinabajul,22,4,5,13,11,40,-29,17,12,Si
2012,Comunicaciones,44,21,15,8,68,41,27,78,1,No
2012,Marquense,44,19,17,8,69,39,30,74,2,No
2012,Suchitepéquez,44,22,8,14,67,52,15,74,3,No
2012,Xelajú MC,44,18,15,11,56,48,8,69,4,No
2012,Municipal,44,16,17,11,67,46,21,65,5,No
2012,Heredia,44,19,7,18,63,66,-3,64,6,No
2012,Peñarol La Mesilla,44,14,14,16,68,57,11,56,7,No
2012,Mictlán,44,15,7,22,47,73,-26,52,8,No
2012,Malacateco,44,11,16,17,50,72,-22,49,9,No
